cod_ibge,ano,homicidios
317080,2010,10
317090,2010,0
291980,2010,1
317100,2010,1
291970,2010,5
317103,2010,0
291960,2010,2
317107,2010,0
291955,2010,1
317110,2010,0
291950,2010,3
317115,2010,0
291940,2010,1
317120,2010,49
317130,2010,13
291930,2010,0
317140,2010,0
291920,2010,152
317150,2010,1
291915,2010,2
317160,2010,0
291910,2010,0
317170,2010,1
291905,2010,2
317180,2010,1
317190,2010,1
291900,2010,0
317200,2010,7
291890,2010,0
317210,2010,0
291880,2010,6
317220,2010,1
291875,2010,0
320010,2010,14
291870,2010,0
320013,2010,1
320016,2010,4
291860,2010,0
320020,2010,3
291855,2010,2
320030,2010,1
291850,2010,2
320035,2010,3
291845,2010,2
320040,2010,6
291840,2010,78
320050,2010,0
320060,2010,38
291835,2010,6
320070,2010,3
291830,2010,3
320080,2010,15
291820,2010,0
320090,2010,11
291810,2010,7
320100,2010,6
291800,2010,55
320110,2010,1
320115,2010,3
291790,2010,4
320120,2010,45
291780,2010,3
320130,2010,297
291770,2010,1
320140,2010,7
291760,2010,11
320150,2010,49
291750,2010,24
320160,2010,23
320170,2010,0
291740,2010,0
320180,2010,1
291735,2010,2
320190,2010,5
291733,2010,1
320200,2010,0
291730,2010,9
320210,2010,14
291720,2010,0
320220,2010,13
291710,2010,16
320225,2010,2
320230,2010,5
291700,2010,4
320240,2010,65
291690,2010,0
320245,2010,9
291685,2010,8
320250,2010,0
291680,2010,0
320255,2010,1
320260,2010,1
291670,2010,3
320265,2010,4
291660,2010,4
320270,2010,4
291650,2010,13
320280,2010,10
291640,2010,31
320290,2010,3
291630,2010,5
320300,2010,8
320305,2010,19
291620,2010,3
320310,2010,0
291610,2010,17
320313,2010,7
291600,2010,8
320316,2010,0
291590,2010,3
320320,2010,79
291580,2010,5
320330,2010,6
320332,2010,13
291570,2010,3
320334,2010,5
291560,2010,34
320335,2010,1
291550,2010,16
320340,2010,5
291540,2010,4
320350,2010,3
291535,2010,4
320360,2010,2
320370,2010,5
291530,2010,3
320380,2010,2
291520,2010,6
320390,2010,10
291510,2010,4
320400,2010,5
291500,2010,1
320405,2010,26
291490,2010,8
320410,2010,8
320420,2010,4
291480,2010,185
320425,2010,1
291470,2010,14
320430,2010,3
291465,2010,17
320435,2010,1
291460,2010,26
320440,2010,2
291450,2010,9
320450,2010,2
320455,2010,4
291440,2010,2
320460,2010,4
291430,2010,0
320465,2010,1
291420,2010,1
320470,2010,9
291410,2010,1
320480,2010,1
291400,2010,12
320490,2010,67
320495,2010,2
291390,2010,14
320500,2010,363
291380,2010,1
320501,2010,15
291370,2010,11
320503,2010,7
291360,2010,116
320506,2010,1
291350,2010,10
320510,2010,35
320515,2010,2
291345,2010,2
320517,2010,6
291340,2010,0
320520,2010,226
291330,2010,0
320530,2010,160
291320,2010,2
330010,2010,66
291310,2010,3
